ふりがな,エピソード,名前,アイドルタイプ,ドミナントアイドルタイプ,マイスタイル,レア度,特技レベル,レベル,親愛度,ボーカル,ダンス,ビジュアル,ライフ,ボイス,ソロ,入手枠,登録日,センター効果,センター効果説明,特技,特技説明
さくままゆ,［Ｒ］佐久間まゆ＋,佐久間まゆ,キュート,非該当,FALSE,レア＋,10,50,150,4896,2454,3036,29,TRUE,FALSE,恒常,'2015年9月17日',キュートボイス,キュートアイドルのボーカルアピール値30%アップ,SCOREボーナス,7秒毎、低確率でしばらくの間、PERFECTのスコア10%アップ
さじょうゆきみ,［Ｒ］佐城雪美＋,佐城雪美,クール,非該当,FALSE,レア＋,10,50,150,3529,3575,3537,32,TRUE,FALSE,恒常,'2015年9月3日',クールエナジー,クールアイドルのライフ10%アップ,ライフ回復,13秒毎、低確率でかなりの間、PERFECTでライフ2回復
さとうしん,［Ｒ］佐藤心＋,佐藤心,パッション,非該当,FALSE,レア＋,10,50,150,3174,2626,4852,29,TRUE,FALSE,恒常,'2016年8月10日',パッションメイク,パッションアイドルのビジュアルアピール値30%アップ,PERFECTサポート,11秒毎、低確率でしばらくの間、GREATをPERFECTにする
ざいぜんときこ,［Ｒ］財前時子＋,財前時子,パッション,非該当,FALSE,レア＋,10,50,150,3588,3731,3612,32,FALSE,FALSE,恒常,'2016年9月30日',パッションエナジー,パッションアイドルのライフ10%アップ,ライフ回復,11秒毎、低確率でしばらくの間、PERFECTでライフ2回復
さかきばらさとみ,［Ｒ］榊原里美＋,榊原里美,キュート,非該当,FALSE,レア＋,10,50,150,2618,4803,3156,29,FALSE,FALSE,恒常,'2016年3月31日',キュートステップ,キュートアイドルのダンスアピール値30%アップ,SCOREボーナス,7秒毎、低確率でしばらくの間、PERFECTのスコア10%アップ
みよしさな,［Ｒ］三好紗南＋,三好紗南,パッション,非該当,FALSE,レア＋,10,50,150,3557,3589,3752,29,FALSE,FALSE,恒常,'2016年2月16日',パッションアビリティ,パッションアイドルの特技発動確率15%アップ,PERFECTサポート,11秒毎、低確率でしばらくの間、GREATをPERFECTにする
いちはらにな,［Ｒ］市原仁奈＋,市原仁奈,パッション,非該当,FALSE,レア＋,10,50,150,2554,3098,4771,29,TRUE,FALSE,恒常,'2015年11月12日',パッションメイク,パッションアイドルのビジュアルアピール値30%アップ,SCOREボーナス,9秒毎、低確率でかなりの間、PERFECTのスコア10%アップ
しのはられい,［Ｒ］篠原礼＋,篠原礼,クール,非該当,FALSE,レア＋,10,50,150,3136,4930,2564,29,FALSE,FALSE,恒常,'2016年6月10日',クールステップ,クールアイドルのダンスアピール値30%アップ,SCOREボーナス,6秒毎、低確率で少しの間、PERFECTのスコア10%アップ
わかばやしともか,［Ｒ］若林智香＋,若林智香,パッション,非該当,FALSE,レア＋,10,50,150,2539,4791,3088,29,FALSE,FALSE,恒常,'2015年9月3日',パッションステップ,パッションアイドルのダンスアピール値30%アップ,COMBOボーナス,7秒毎、低確率でしばらくの間、COMBOボーナス8%アップ
とときあいり,［Ｒ］十時愛梨＋,十時愛梨,パッション,非該当,FALSE,レア＋,10,50,150,3675,3594,3576,29,TRUE,FALSE,恒常,'2015年9月3日',パッションエナジー,パッションアイドルのライフ10%アップ,PERFECTサポート,9秒毎、低確率で少しの間、GREATをPERFECTにする
しぶやりん,［Ｒ］渋谷凛＋,渋谷凛,クール,非該当,FALSE,レア＋,10,50,150,4281,2309,2793,29,TRUE,FALSE,恒常,'2015年9月3日',クールボイス,クールアイドルのボーカルアピール値30%アップ,SCOREボーナス,6秒毎、低確率で少しの間、PERFECTのスコア10%アップ
もろぼしきらり,［Ｒ］諸星きらり＋,諸星きらり,パッション,非該当,FALSE,レア＋,10,50,150,3221,3181,3174,32,TRUE,FALSE,恒常,'2015年9月3日',パッションエナジー,パッションアイドルのライフ10%アップ,ライフ回復,9秒毎、低確率で少しの間、PERFECTでライフ2回復
こせきれいな,［Ｒ］小関麗奈＋,小関麗奈,パッション,非該当,FALSE,レア＋,10,50,150,2588,3127,4783,29,TRUE,FALSE,恒常,'2016年1月31日',パッションメイク,パッションアイドルのビジュアルアピール値30%アップ,SCOREボーナス,6秒毎、低確率で少しの間、PERFECTのスコア10%アップ
こむろちなみ,［Ｒ］小室千奈美＋,小室千奈美,クール,非該当,FALSE,レア＋,10,50,150,3439,3919,3518,32,FALSE,FALSE,恒常,'2016年11月17日',クールエナジー,クールアイドルのライフ10%アップ,ライフ回復,11秒毎、低確率でしばらくの間、PERFECTでライフ2回復
こまついぶき,［Ｒ］小松伊吹＋,小松伊吹,パッション,非該当,FALSE,レア＋,10,50,150,3098,4922,2523,29,FALSE,FALSE,恒常,'2016年3月25日',パッションステップ,パッションアイドルのダンスアピール値30%アップ,SCOREボーナス,7秒毎、低確率でしばらくの間、PERFECTのスコア10%アップ
こばやかわさえ,［Ｒ］小早川紗枝＋,小早川紗枝,キュート,非該当,FALSE,レア＋,10,50,150,4803,3080,2527,29,TRUE,FALSE,恒常,'2015年9月3日',キュートボイス,キュートアイドルのボーカルアピール値30%アップ,COMBOボーナス,9秒毎、低確率でかなりの間、COMBOボーナス8%アップ
まつながりょう,［Ｒ］松永涼＋,松永涼,クール,非該当,FALSE,レア＋,10,50,150,2445,4908,3028,29,TRUE,FALSE,恒常,'2015年9月30日',クールステップ,クールアイドルのダンスアピール値30%アップ,SCOREボーナス,6秒毎、低確率で少しの間、PERFECTのスコア10%アップ
まつばらさや,［Ｒ］松原早耶＋,松原早耶,キュート,非該当,FALSE,レア＋,10,50,150,4882,3118,2554,29,FALSE,FALSE,恒常,'2016年5月11日',キュートボイス,キュートアイドルのボーカルアピール値30%アップ,PERFECTサポート,9秒毎、低確率で少しの間、GREATをPERFECTにする
じょうがさきみか,［Ｒ］城ヶ崎美嘉＋,城ヶ崎美嘉,パッション,非該当,FALSE,レア＋,10,50,150,3100,2558,4765,29,TRUE,FALSE,恒常,'2015年9月3日',パッションメイク,パッションアイドルのビジュアルアピール値30%アップ,COMBOボーナス,6秒毎、低確率で少しの間、COMBOボーナス8%アップ
じょうがさきりか,［Ｒ］城ヶ崎莉嘉＋,城ヶ崎莉嘉,パッション,非該当,FALSE,レア＋,10,50,150,3237,3226,3300,29,TRUE,FALSE,恒常,'2015年9月3日',パッションアビリティ,パッションアイドルの特技発動確率15%アップ,PERFECTサポート,11秒毎、低確率でしばらくの間、GREATをPERFECTにする
もりくぼのの,［Ｒ］森久保乃々＋,森久保乃々,クール,非該当,FALSE,レア＋,10,50,150,4934,3016,2423,29,TRUE,FALSE,恒常,'2015年11月30日',クールボイス,クールアイドルのボーカルアピール値30%アップ,SCOREボーナス,7秒毎、低確率でしばらくの間、PERFECTのスコア10%アップ
かんざきらんこ,［Ｒ］神崎蘭子＋,神崎蘭子,クール,非該当,FALSE,レア＋,10,50,150,3246,3236,3286,29,TRUE,FALSE,恒常,'2015年9月3日',クールアビリティ,クールアイドルの特技発動確率15%アップ,PERFECTサポート,11秒毎、低確率でしばらくの間、GREATをPERFECTにする
みずのみどり,［Ｒ］水野翠＋,水野翠,クール,非該当,FALSE,レア＋,10,50,150,4916,2528,3102,29,FALSE,FALSE,恒常,'2016年3月11日',クールボイス,クールアイドルのボーカルアピール値30%アップ,SCOREボーナス,6秒毎、低確率で少しの間、PERFECTのスコア10%アップ
せなしおり,［Ｒ］瀬名詩織＋,瀬名詩織,クール,非該当,FALSE,レア＋,10,50,150,3195,4895,2641,29,FALSE,FALSE,恒常,'2016年9月9日',クールステップ,クールアイドルのダンスアピール値30%アップ,COMBOボーナス,9秒毎、低確率でかなりの間、COMBOボーナス8%アップ
ほしまちすいせい,［Ｒ］星街すいせい＋,星街すいせい,クール,非該当,FALSE,レア＋,10,50,150,4935,2486,3105,29,TRUE,FALSE,イベント,'2024年3月11日',クールボイス,クールアイドルのボーカルアピール値30%アップ,ライフ回復,13秒毎、低確率でかなりの間、PERFECTでライフ2回復
さいおんじことか,［Ｒ］西園寺琴歌＋,西園寺琴歌,キュート,非該当,FALSE,レア＋,10,50,150,2435,3022,4922,29,TRUE,FALSE,恒常,'2015年10月9日',キュートメイク,キュートアイドルのビジュアルアピール値30%アップ,SCOREボーナス,9秒毎、低確率でかなりの間、PERFECTのスコア10%アップ
にしかわほなみ,［Ｒ］西川保奈美＋,西川保奈美,クール,非該当,FALSE,レア＋,10,50,150,2582,3158,4967,29,FALSE,FALSE,恒常,'2016年10月31日',クールメイク,クールアイドルのビジュアルアピール値30%アップ,SCOREボーナス,9秒毎、低確率でかなりの間、PERFECTのスコア10%アップ
にしじまかい,［Ｒ］西島櫂＋,西島櫂,パッション,非該当,FALSE,レア＋,10,50,150,2595,3154,4892,29,FALSE,FALSE,恒常,'2016年6月23日',パッションメイク,パッションアイドルのビジュアルアピール値30%アップ,COMBOサポート,12秒毎、低確率で少しの間、NICEでもCOMBOが継続する
あかにしえりか,［Ｒ］赤西瑛梨華＋,赤西瑛梨華,キュート,非該当,FALSE,レア＋,10,50,150,3572,3509,3890,32,FALSE,FALSE,恒常,'2016年12月22日',キュートエナジー,キュートアイドルのライフ10%アップ,ライフ回復,11秒毎、低確率でしばらくの間、PERFECTでライフ2回復
せんざきえま,［Ｒ］仙崎恵磨＋,仙崎恵磨,パッション,非該当,FALSE,レア＋,10,50,150,3600,3588,3663,29,FALSE,FALSE,恒常,'2015年9月3日',パッションアビリティ,パッションアイドルの特技発動確率15%アップ,ライフ回復,11秒毎、低確率でしばらくの間、PERFECTでライフ2回復
あさのふうか,［Ｒ］浅野風香＋,浅野風香,キュート,非該当,FALSE,レア＋,10,50,150,4927,2615,3178,29,FALSE,FALSE,恒常,'2016年10月12日',キュートボイス,キュートアイドルのボーカルアピール値30%アップ,SCOREボーナス,6秒毎、低確率で少しの間、PERFECTのスコア10%アップ
まえかわみく,［Ｒ］前川みく＋,前川みく,キュート,非該当,FALSE,レア＋,10,50,150,3163,3234,3175,32,TRUE,FALSE,恒常,'2015年9月3日',キュートエナジー,キュートアイドルのライフ10%アップ,ライフ回復,9秒毎、低確率で少しの間、PERFECTでライフ2回復
ふたばあんず,［Ｒ］双葉杏＋,双葉杏,キュート,非該当,FALSE,レア＋,10,50,150,3272,3252,3249,29,TRUE,FALSE,恒常,'2015年9月3日',キュートアビリティ,キュートアイドルの特技発動確率15%アップ,PERFECTサポート,11秒毎、低確率でしばらくの間、GREATをPERFECTにする
はやさかみれい,［Ｒ］早坂美玲＋,早坂美玲,キュート,非該当,FALSE,レア＋,10,50,150,3623,3612,3685,29,TRUE,FALSE,恒常,'2016年1月9日',キュートブリリアンス,キュートアイドルの全アピール値10%アップ,PERFECTサポート,13秒毎、低確率でかなりの間、GREATをPERFECTにする
あいはらゆきの,［Ｒ］相原雪乃＋,相原雪乃,キュート,非該当,FALSE,レア＋,10,50,150,3198,2646,4888,29,FALSE,FALSE,恒常,'2016年11月22日',キュートアビリティ,キュートアイドルの特技発動確率15%アップ,PERFECTサポート,13秒毎、低確率でかなりの間、GREATをPERFECTにする
はやみかなで,［Ｒ］速水奏＋,速水奏,クール,非該当,FALSE,レア＋,10,50,150,2580,3115,4739,29,TRUE,FALSE,恒常,'2015年9月3日',クールメイク,クールアイドルのビジュアルアピール値30%アップ,COMBOボーナス,6秒毎、低確率で少しの間、COMBOボーナス8%アップ
むらまつさくら,［Ｒ］村松さくら＋,村松さくら,キュート,非該当,FALSE,レア＋,10,50,150,2462,4939,3048,29,FALSE,FALSE,恒常,'2016年2月29日',キュートステップ,キュートアイドルのダンスアピール値30%アップ,COMBOボーナス,9秒毎、低確率でかなりの間、COMBOボーナス8%アップ
むらかみともえ,［Ｒ］村上巴＋,村上巴,パッション,非該当,FALSE,レア＋,10,50,150,4931,3052,2467,29,TRUE,FALSE,恒常,'2015年12月30日',パッションボイス,パッションアイドルのボーカルアピール値30%アップ,COMBOボーナス,6秒毎、低確率で少しの間、COMBOボーナス8%アップ
おおぬまくるみ,［Ｒ］大沼くるみ＋,大沼くるみ,キュート,非該当,FALSE,レア＋,10,50,150,3586,3562,3705,32,FALSE,FALSE,恒常,'2016年7月25日',キュートエナジー,キュートアイドルのライフ10%アップ,ライフ回復,13秒毎、低確率でかなりの間、PERFECTでライフ2回復
おおにしゆりこ,［Ｒ］大西由里子＋,大西由里子,キュート,非該当,FALSE,レア＋,10,50,150,3148,2583,4904,29,FALSE,FALSE,恒常,'2016年6月9日',キュートメイク,キュートアイドルのビジュアルアピール値30%アップ,SCOREボーナス,7秒毎、低確率でしばらくの間、PERFECTのスコア10%アップ
おおいしいずみ,［Ｒ］大石泉＋,大石泉,クール,非該当,FALSE,レア＋,10,50,150,2498,3072,4893,29,TRUE,FALSE,恒常,'2016年2月10日',クールメイク,クールアイドルのビジュアルアピール値30%アップ,COMBOボーナス,7秒毎、低確率でしばらくの間、COMBOボーナス8%アップ
やまとあき,［Ｒ］大和亜季＋,大和亜季,クール,非該当,FALSE,レア＋,10,50,150,2567,3115,4809,29,TRUE,FALSE,恒常,'2015年12月21日',クールメイク,クールアイドルのビジュアルアピール値30%アップ,SCOREボーナス,6秒毎、低確率で少しの間、PERFECTのスコア10%アップ
いけぶくろあきは,［Ｒ］池袋晶葉＋,池袋晶葉,キュート,非該当,FALSE,レア＋,10,50,150,3887,3644,3685,29,FALSE,FALSE,恒常,'2016年12月12日',キュートブリリアンス,キュートアイドルの全アピール値10%アップ,COMBOボーナス,9秒毎、低確率でかなりの間、COMBOボーナス8%アップ
つちやあこ,［Ｒ］土屋亜子＋,土屋亜子,パッション,非該当,FALSE,レア＋,10,50,150,4801,3118,2571,29,FALSE,FALSE,恒常,'2016年2月29日',パッションボイス,パッションアイドルのボーカルアピール値30%アップ,COMBOボーナス,7秒毎、低確率でしばらくの間、COMBOボーナス8%アップ
しまむらうづき,［Ｒ］島村卯月＋,島村卯月,キュート,非該当,FALSE,レア＋,10,50,150,2257,2761,4347,29,TRUE,FALSE,恒常,'2015年9月3日',キュートメイク,キュートアイドルのビジュアルアピール値30%アップ,SCOREボーナス,6秒毎、低確率で少しの間、PERFECTのスコア10%アップ
ももいあずき,［Ｒ］桃井あずき＋,桃井あずき,キュート,非該当,FALSE,レア＋,10,50,150,3074,4817,2518,29,FALSE,FALSE,恒常,'2015年9月3日',キュートステップ,キュートアイドルのダンスアピール値30%アップ,COMBOボーナス,7秒毎、低確率でしばらくの間、COMBOボーナス8%アップ
ふじいとも,［Ｒ］藤居朋＋,藤居朋,クール,非該当,FALSE,レア＋,10,50,150,4873,2514,3081,29,FALSE,FALSE,恒常,'2016年2月10日',クールボイス,クールアイドルのボーカルアピール値30%アップ,SCOREボーナス,9秒毎、低確率でかなりの間、PERFECTのスコア10%アップ
どうみょうじかりん,［Ｒ］道明寺歌鈴＋,道明寺歌鈴,キュート,非該当,FALSE,レア＋,10,50,150,3530,3517,3589,32,TRUE,FALSE,恒常,'2015年9月3日',キュートエナジー,キュートアイドルのライフ10%アップ,ライフ回復,13秒毎、低確率でかなりの間、PERFECTでライフ2回復
なんじょうひかる,［Ｒ］南条光＋,南条光,パッション,非該当,FALSE,レア＋,10,50,150,2574,4918,3142,29,TRUE,FALSE,恒常,'2016年7月19日',パッションステップ,パッションアイドルのダンスアピール値30%アップ,COMBOサポート,15秒毎、低確率でしばらくの間、NICEでもCOMBOが継続する
なんばえみ,［Ｒ］難波笑美＋,難波笑美,パッション,非該当,FALSE,レア＋,10,50,150,4887,2503,3075,29,TRUE,FALSE,恒常,'2016年1月12日',パッションボイス,パッションアイドルのボーカルアピール値30%アップ,SCOREボーナス,9秒毎、低確率でかなりの間、PERFECTのスコア10%アップ
にのみやあすか,［Ｒ］二宮飛鳥＋,二宮飛鳥,クール,非該当,FALSE,レア＋,10,50,150,3107,2570,4751,29,TRUE,FALSE,恒常,'2015年10月19日',クールメイク,クールアイドルのビジュアルアピール値30%アップ,COMBOボーナス,9秒毎、低確率でかなりの間、COMBOボーナス8%アップ
